
Parameter				Value
Filter Type:			RC-low-pass Filter
Input Voltage(Vin)		1.0000 V
Output Voltage(Vout)	0.0665 V
Resistance(R)			20.0000 Ω
Capacitance(C)			1.000000000000 F
Frequency(f)			0.1195 Hz
Cutoff Frequency(fc)	0.0080 Hz
Gain(dB)				-23.5410 dB
Phase Shift(°)			-86.1859 °

|     Freq(Hz) |      Vout(V) |     Gain(dB) |    Phase(°) |
|       0.0000 |       1.0000 |       0.0000 |      -0.0000 |
|       0.0002 |       0.9998 |      -0.0017 |      -1.1458 |
|       0.0003 |       0.9992 |      -0.0069 |      -2.2906 |
|       0.0005 |       0.9982 |      -0.0156 |      -3.4336 |
|       0.0006 |       0.9968 |      -0.0277 |      -4.5739 |
|       0.0008 |       0.9950 |      -0.0432 |      -5.7106 |
|       0.0010 |       0.9929 |      -0.0621 |      -6.8428 |
|       0.0011 |       0.9903 |      -0.0843 |      -7.9696 |
|       0.0013 |       0.9874 |      -0.1098 |      -9.0903 |
|       0.0014 |       0.9842 |      -0.1385 |     -10.2040 |
|       0.0016 |       0.9806 |      -0.1703 |     -11.3099 |
|       0.0018 |       0.9766 |      -0.2053 |     -12.4074 |
|       0.0019 |       0.9724 |      -0.2432 |     -13.4957 |
|       0.0021 |       0.9678 |      -0.2841 |     -14.5742 |
|       0.0022 |       0.9630 |      -0.3278 |     -15.6422 |
|       0.0024 |       0.9578 |      -0.3743 |     -16.6992 |
|       0.0025 |       0.9524 |      -0.4234 |     -17.7447 |
|       0.0027 |       0.9468 |      -0.4751 |     -18.7780 |
|       0.0029 |       0.9409 |      -0.5292 |     -19.7989 |
|       0.0030 |       0.9348 |      -0.5858 |     -20.8068 |
|       0.0032 |       0.9285 |      -0.6446 |     -21.8014 |
|       0.0033 |       0.9220 |      -0.7055 |     -22.7824 |
|       0.0035 |       0.9153 |      -0.7686 |     -23.7495 |
|       0.0037 |       0.9085 |      -0.8336 |     -24.7024 |
|       0.0038 |       0.9015 |      -0.9005 |     -25.6410 |
|       0.0040 |       0.8944 |      -0.9691 |     -26.5650 |
|       0.0041 |       0.8872 |      -1.0394 |     -27.4744 |
|       0.0043 |       0.8799 |      -1.1113 |     -28.3690 |
|       0.0045 |       0.8725 |      -1.1846 |     -29.2488 |
|       0.0046 |       0.8650 |      -1.2594 |     -30.1137 |
|       0.0048 |       0.8575 |      -1.3354 |     -30.9638 |
|       0.0049 |       0.8499 |      -1.4126 |     -31.7989 |
|       0.0051 |       0.8423 |      -1.4910 |     -32.6192 |
|       0.0053 |       0.8346 |      -1.5703 |     -33.4248 |
|       0.0054 |       0.8269 |      -1.6507 |     -34.2157 |
|       0.0056 |       0.8192 |      -1.7319 |     -34.9920 |
|       0.0057 |       0.8115 |      -1.8139 |     -35.7539 |
|       0.0059 |       0.8038 |      -1.8966 |     -36.5014 |
|       0.0060 |       0.7962 |      -1.9800 |     -37.2348 |
|       0.0062 |       0.7885 |      -2.0639 |     -37.9542 |
|       0.0064 |       0.7809 |      -2.1484 |     -38.6598 |
|       0.0065 |       0.7733 |      -2.2334 |     -39.3518 |
|       0.0067 |       0.7657 |      -2.3188 |     -40.0303 |
|       0.0068 |       0.7582 |      -2.4045 |     -40.6955 |
|       0.0070 |       0.7507 |      -2.4905 |     -41.3478 |
|       0.0072 |       0.7433 |      -2.5768 |     -41.9872 |
|       0.0073 |       0.7359 |      -2.6633 |     -42.6141 |
|       0.0075 |       0.7286 |      -2.7499 |     -43.2285 |
|       0.0076 |       0.7214 |      -2.8366 |     -43.8309 |
|       0.0078 |       0.7142 |      -2.9234 |     -44.4213 |
|       0.0080 |       0.7071 |      -3.0103 |     -45.0000 |
|       0.0081 |       0.7001 |      -3.0972 |     -45.5673 |
|       0.0083 |       0.6931 |      -3.1840 |     -46.1233 |
|       0.0084 |       0.6862 |      -3.2707 |     -46.6683 |
|       0.0086 |       0.6794 |      -3.3574 |     -47.2026 |
|       0.0088 |       0.6727 |      -3.4439 |     -47.7263 |
|       0.0089 |       0.6660 |      -3.5303 |     -48.2397 |
|       0.0091 |       0.6594 |      -3.6165 |     -48.7430 |
|       0.0092 |       0.6529 |      -3.7025 |     -49.2364 |
|       0.0094 |       0.6465 |      -3.7883 |     -49.7201 |
|       0.0095 |       0.6402 |      -3.8739 |     -50.1944 |
|       0.0097 |       0.6339 |      -3.9592 |     -50.6595 |
|       0.0099 |       0.6278 |      -4.0442 |     -51.1155 |
|       0.0100 |       0.6217 |      -4.1290 |     -51.5627 |
|       0.0102 |       0.6156 |      -4.2134 |     -52.0013 |
|       0.0103 |       0.6097 |      -4.2975 |     -52.4314 |
|       0.0105 |       0.6039 |      -4.3813 |     -52.8533 |
|       0.0107 |       0.5981 |      -4.4647 |     -53.2672 |
|       0.0108 |       0.5924 |      -4.5478 |     -53.6732 |
|       0.0110 |       0.5868 |      -4.6306 |     -54.0715 |
|       0.0111 |       0.5812 |      -4.7129 |     -54.4623 |
|       0.0113 |       0.5758 |      -4.7949 |     -54.8458 |
|       0.0115 |       0.5704 |      -4.8765 |     -55.2222 |
|       0.0116 |       0.5651 |      -4.9577 |     -55.5915 |
|       0.0118 |       0.5599 |      -5.0384 |     -55.9541 |
|       0.0119 |       0.5547 |      -5.1188 |     -56.3099 |
|       0.0121 |       0.5496 |      -5.1988 |     -56.6593 |
|       0.0123 |       0.5446 |      -5.2784 |     -57.0023 |
